measurementInterval,datasetCollector,measurementID,verbatimScientificName,acceptedScientificName,continent,country,verbatimLocality,decimallatitude,decimallongitude,massing_summer_max,massing_summer_max_month,massing_fall_max,massing_fall_max_month,massing_winter_min,massing_winter_min_month,massing_summerY2_max,massing_summerY2_max_month,massing_summer.winter_decrease_mean,massing_fall.winter_decrease_mean,massing_summer.winter_decrease_percent,massing_fall.winter_decrease_percent,massing_winter.summerY2_increase_percent,BCH_summer_max,BCH_summer_max_month,BCH_fall_max,BCH_fall_max_month,BCH_winter_min,BCH_winter_min_month,BCH_summerY2_max,BCH_summerY2_max_month,BCH_summer.winter_decrease_mean,BCH_fall.winter_decrease_mean,BCH_summer.winter_decrease_percent,BCH_fall.winter_decrease_percent,BCH_winter.summerY2_increase_percent,measurementNotes,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
monthly,this study; Lazaro et al. 2021,schubarth_1958_table5and9,Sorex araneus,Sorex araneus,Europe,Germany,Berlin,52.527222,13.381944,7.7,9,8.3,10,5.9,2,11.6,8,-1.8,-2.4,-0.233766234,-0.289156627,0.966101695,5.89,7,5.76,10,5.35,2,5.75,7,-0.54,-0.41,-0.091680815,-0.071180556,0.074766355,,9.85016665,7.082999843,27.43647342,697.030866,21.97999954,-3.835999966,25.81599951,18.56933339,5.193999921,18.56933339,1.468666643,576,65,36,18.60290102,176,117,176,137
monthly,this study; Lazaro et al. 2021,serafinski_1955_table2and8,Sorex araneus,Sorex araneus,Europe,Poland,Pozna_,52.395,16.933333,6.8,9,7.6,12,6.2,1,10.2,9,-0.6,-1.4,-0.088235294,-0.184210526,0.64516129,6.1,6,6,10,5.3,12,5.83,6,-0.8,-0.7,-0.131147541,-0.116666667,0.1,massing_winter_min is based on a single individual from January; BCH_winter_min lower than reported / BCH_winter_min_month different than reported / associated summer to winter decreases (and calculated decreases) greater than reported in Lazaro et al. 2021,9.030333425,8.074000031,28.1992178,737.0214973,22.55200005,-6.079999924,28.63199997,18.17133347,1.13866667,18.17133347,0.076666633,504,74,22,34.47968981,189,84,189,89
seasonal/monthly,this study; Lazaro et al. 2021,skaren_1964_table7and11,Sorex araneus,Sorex araneus,Europe,Finland,various locations,62.10512,26.32845,7.4,8,NA,NA,5.5,1.5,11.4,8,-1.9,NA,-0.256756757,NA,1.072727273,6.15,6,5.71,10,5.27,1.5,5.8,6,-0.88,-0.44,-0.143089431,-0.077057793,0.10056926,massing data restricted to data from southern Finland (Helsinki and Vilppula); BCH data are mixed populations,2.846666742,7.657333292,22.86317144,890.9842667,19.16399956,-14.32800007,33.49199963,12.35200008,-3.783333341,14.21600008,-7.911333203,652,88,32,32.75146794,232,107,231,125
,Lazaro et al. 2021,spitzenberger_2001,Sorex araneus,Sorex araneus,Europe,Austria,Stockerau,48.384612,16.20763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.194,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,0.09,,9.882000116,8.218,28.10149049,764.602612,23.34000015,-5.904000282,29.24400044,17.65733369,0.374666611,19.27066692,0.374666611,541,72,25,34.32861679,200,86,199,86
seasonal,this study; Lazaro et al. 2021,stein_1938_table2andfig7,Sorex araneus,Sorex araneus,Europe,Germany,Frankfurt (Oder),52.317133,14.569189,7.48,9,7.785,10,6.34,2,13.5,9,-1.14,-1.445,-0.152406417,-0.185613359,1.129337539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.157166737,7.942333346,28.94436344,708.80553,21.94400024,-5.495999813,27.44000006,17.96066666,4.466000011,17.96066666,0.578000009,528,69,28,28.17294672,182,91,182,102
seasonal,this study,stein_1938_table3,Sorex minutus,Sorex minutus,Europe,Germany,Frankfurt (Oder),52.317133,14.569189,3.195,10.5,3.195,10.5,2.55,2,NA,NA,-0.645,-0.645,-0.201877934,-0.201877934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,massing data restricted to known-age time categories,9.157166737,7.942333346,28.94436344,708.80553,21.94400024,-5.495999813,27.44000006,17.96066666,4.466000011,17.96066666,0.578000009,528,69,28,28.17294672,182,91,182,102
seasonal,this study; Lazaro et al. 2021,taylor_2013_fig1and3,Sorex araneus,Sorex araneus,Europe,Poland,"Bia_owie_a, Poland",52.728783,23.870556,7.884412128,6.5,8.32,9,6.385477842,1.5,NA,NA,-1.498934286,-1.934522158,-0.19011364,-0.232514682,NA,6.287611945,6.5,NA,NA,5.459248239,1.5,NA,NA,-0.828363706,NA,-0.131745361,NA,NA,massing_fall_max is only for 2007-2008; other values are averages over three-year study,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
,Lazaro et al. 2021,viktorov_1967,Sorex araneus,Sorex araneus,Asia,Russia,"Kalinin, Tver, Russia",56.851976,35.933533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,-0.1598,NA,0.1088,,4.628666642,7.876666699,22.14786489,976.0553614,21.84000015,-13.72399998,35.56400013,16.66666667,-6.048666636,16.66666667,-7.354000052,630,87,28,35.67463568,235,92,235,108
seasonal,this study; Lazaro et al. 2021,yaskin_1994_table1a,Sorex araneus,Sorex araneus,Asia,Russia,"Tuchkovo, Russia (Lazaro et al. 2021); Moscow, 60 km west; mixed forest near Pyshma River (Yaskin 1994)",55.61588,36.458302,7.36,7,6.02,10,5.23,2.5,9.91,7,-2.13,-0.79,-0.289402174,-0.131229236,0.894837476,6.01,7,NA,NA,4.94,2,5.36,7,-1.07,NA,-0.178036606,NA,0.085020243,,4.548333361,7.519333423,21.21708102,968.869076,21.37599945,-14.06400013,35.43999958,16.37200006,-6.001333356,16.37200006,-7.404666742,637,84,29,33.58371257,234,97,234,114
seasonal,this study; Lazaro et al. 2021,yaskin_1994_table1b,Sorex araneus,Sorex araneus,Asia,Russia,"Taliza, Russia (Lazaro et al. 2021); floodplain biotype  of the Pyshma River (western Siberia) (Yaskin 1994)",57.033625,63.876613,7.06,7,6.47,10,5.33,2.5,9.27,7,-1.73,-1.14,-0.245042493,-0.176197836,0.739212008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.859333369,9.82933342,21.41093756,1270.292867,23.38800049,-22.52000046,45.90800095,17.01066653,-4.866666496,17.01066653,-14.31866654,467,79,14,52.32641657,205,53,205,66
monthly,this study,brambell_1936_fig1and2,Sorex minutus,Sorex minutus,Europe,United Kingdom,"Wales, within 3 miles of Bangor [Anglesey, Caernarvonshire, Denbighshire]",53.26666,-4.11666,3.212196745,8,3.49440471,10,2.785141078,2,3.13075279,4,-0.427055667,-0.709263632,-0.132948166,-0.202971233,0.124091277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.818849241,5.768650701,35.93641636,386.2700832,17.83333397,1.780952334,16.05238164,8.423809608,10.60158722,14.71587324,5.523015877,1016,123,54,26.96258394,346,172,238,285
monthly,this study,clothier_1950_table3and5,"Sorex vagrans monticola, Sorex obscurus obscurus",Sorex vagrans,North America,United States,"Montana, western Montana [Missoula, Lake, Flathead/Glacier counties]",47.53876,-113.97135,5.84,9,5.11,10,4.5,12,7.49,7,-1.34,-0.61,-0.229452055,-0.119373777,0.664444444,5.34,8,5.26,10,4.8,2,5.14,4,-0.54,-0.46,-0.101123596,-0.087452471,0.070833333,summerY2_max taken for months with males and females in sample set,3.63916675,10.31833354,33.98660518,757.7584802,18.88400078,-11.47599983,30.36000061,-4.355333318,12.87866696,13.27200031,-5.168666691,632,67,33,21.23559784,194,119,137,179
monthly,this study,crowcroft_1959_fig1,Sorex araneus,Sorex araneus,Europe,United Kingdom,"Berkshire, Wytham Estate",51.42,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92964356,10,4.92964356,10,4.659792473,1,5.140999024,7,-0.269851087,-0.269851087,-0.054740487,-0.054740487,0.103267807,,10.23066665,7.839333359,38.11422419,476.0141679,20.35199928,-0.216000006,20.56799929,5.737333437,6.523999982,16.39533329,4.85533348,693,72,42,17.42084212,211,149,152,188
seasonal,this study,french_1980_text,Sorex longirostris,Sorex longirostris,North America,United States,Alabama and Georgia,32.71737,-85.0305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,NA,NA,NA,4.83,NA,4.86,NA,-0.24,NA,-0.047337278,NA,0.00621118,summer_max taken from AGE class 1; winter_min taken for AGE class 2,17.01049982,13.46366654,40.8683439,712.0459048,33.12799835,0.184,32.94399835,9.466666736,22.19666656,25.56466579,7.996000009,1341,153,70,22.32601871,410,251,334,386
